"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"AT-SE" 116913.348524889 0 0 0 0 238269.390772728 212327.682447761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43350.1030821215 0 0 8228.98657331177 0 0 0 0
"AT-SI" 145569.138929597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38683.6957192559 0 0 0
"AT-SK" 234057.172650895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194823.106580665 0 0
"AT-TR" 193798.740868276 0 196332.826691497 0 0 0 0 0 0 0 0 0 0 0 261584.29652656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 447457.772153046 0 0 0 310246.520699856 0
"AT-UK" 99130.7897924314 39669.3357741089 0 0 0 0 548879.950788651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3869.23286287532 0 0 0 0 0 0 0 0 244464.780829131
"BE-AT" 100774.724365754 142697.588180683 0 0 0 0 529536.986613552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-BE" 0 98402.3812369358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-BG" 285941.669850537 143011.511607488 255350.66990145 0 0 0 531990.201905488 0 0 0 0 0 0 34947.6769242759 210072.527426672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12792.7422048045 0 0 0
"BE-CH" 0 169600.260612259 0 2489.34481319992 0 0 18118.5088737815 0 0 0 0 0 241570.198030664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-CY" 197982.015442318 140517.530172346 218051.704400491 0 37852.7230278062 0 581355.843284682 0 0 200372.595307381 0 0 0 229563.010691572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65361.5108627127 0 800270.39093413 0
"BE-CZ" 0 86963.7831416764 0 0 0 8600.14730129806 439028.190907316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24681.977390081 0 0 0 0 0 0 0 0 0
"BE-DE" 0 107721.217082586 0 0 0 0 268037.575896296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4121.05128185584 0 0 0 0 0 0 0 0 0
"BE-DK" 0 83344.9378813314 0 0 0 0 9730.09750035508 103577.407784965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 242743.332529931 0 0 0 0 0 0 0 0 0
"BE-EE" 0 74260.5237543208 0 0 0 0 29179.6666869654 0 13412.8890096993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71260.5924535849 0 0 0 0 0 0 0 0 0
"BE-EL" 69976.6829255259 131446.514618513 0 0 0 0 473078.795364393 0 0 243497.810653201 0 0 0 202904.348920898 0 0 0 167163.937743536 0 0 13599.649298294 0 18968.7868896196 0 0 0 0 0 0 0 0 89364.8600768617 0 0 0
"BE-ES" 0 61626.7106902883 0 0 0 0 0 0 0 0 283361.136619184 0 904906.560442688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-FI" 0 75353.4809191636 0 0 0 0 247703.219914735 16319.8856476029 0 0 0 2191.37730741931 0 0 0 0 0 0 0 0 0 0 0 0 0 241580.378481624 0 0 0 0 504041.369521826 0 0 0 0
"BE-FR" 0 79797.0284405652 0 0 0 0 0 0 0 0 0 0 10198.4642061201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
