"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"EE-PT" 0 99317.5829286705 0 0 0 0 656892.965313874 22014.0099603132 83017.7731309323 0 246428.839564369 0 1039931.74308208 0 0 0 0 0 0 0 0 24292.3354181046 0 0 0 17571.8298349771 0 0 184275.23993879 0 0 0 0 0 0
"EE-RO" 0 0 0 0 0 0 0 0 85304.8670234134 0 0 0 0 0 0 0 0 0 0 206649.043379052 0 198711.982129419 0 0 0 0 0 0 0 177284.273075276 0 0 0 0 0
"EE-SE" 0 0 0 0 0 0 0 0 142511.147081591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3873.8760205845 0 0 0 0
"EE-SI" 259883.997038533 0 0 0 0 188960.790006806 0 0 80525.5357667247 0 0 0 0 0 0 0 0 0 0 156186.246499476 0 228232.794708944 0 0 0 0 0 503722.816180327 0 0 0 65230.6205243929 0 0 0
"EE-SK" 0 0 0 0 0 0 0 0 75181.2807628011 0 0 0 0 0 0 0 0 0 0 222727.036699465 0 207963.374721166 0 0 0 0 0 585402.807545317 0 0 0 0 77687.7386452829 0 0
"EE-TR" 0 0 0 0 0 0 0 0 137402.279314935 0 0 0 0 0 0 0 0 0 0 0 0 202536.717928081 0 0 0 0 0 0 0 0 0 0 0 276249.740878401 0
"EE-UK" 0 0 0 0 0 0 0 168163.873392995 126918.462439189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 536808.64431447 0 0 0 145376.437822968
"EL-AT" 146147.805152551 0 0 0 0 0 0 0 0 343161.639872901 0 0 0 144967.531408866 0 0 0 0 0 0 0 0 103715.037069317 116644.36326675 0 0 0 0 0 0 0 61830.2537509274 0 0 0
"EL-BE" 69976.6829255259 131446.514618513 0 0 0 0 473078.795364393 0 0 538766.059699707 0 0 0 323059.433217745 0 0 0 181763.275095581 0 0 13599.649298294 0 76007.1563674255 0 0 0 0 0 0 0 0 74765.5227248168 0 0 0
"EL-BG" 0 0 127391.356923937 0 0 0 0 0 0 2340.87440238157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-CH" 0 0 0 18681.1620243914 0 0 0 0 0 28776.7855460535 0 0 0 8604.52082623314 0 0 0 257868.567799139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-CY" 0 0 0 0 32917.9185006515 0 0 0 0 34595.0090398189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2715.0594755921 0
"EL-CZ" 104959.65370809 0 0 0 0 129553.778907829 0 0 0 339356.912332694 0 0 0 89548.8337421414 254537.775491242 0 0 0 0 0 0 0 0 125069.297733529 0 0 0 0 0 0 0 0 0 0 0
"EL-DE" 234459.604181373 0 0 0 0 0 338352.28580319 0 0 343890.092816942 0 0 0 136896.730325506 0 0 0 0 0 0 0 0 105475.16248181 110101.058994387 0 0 0 0 0 0 0 70127.0061285452 0 0 0
"EL-DK" 7161.74299175606 0 0 0 0 288429.127708545 402469.370187499 42051.8480290271 0 339450.459286164 0 0 0 4858.97127255244 240573.650806557 0 0 0 0 0 0 0 0 132743.756171979 0 0 0 9459.12267309732 0 0 0 0 94161.2308573554 0 0
"EL-EE" 0 0 257635.443932953 0 0 0 0 0 87023.6909260448 3082.9451003666 0 0 0 0 0 0 0 0 0 225288.642358329 0 196473.744293369 0 0 0 0 0 0 0 465489.592373879 0 0 0 0 0
"EL-EL" 0 0 0 0 0 0 0 0 0 289911.622509517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-ES" 0 0 0 0 0 0 0 0 0 230431.912739296 281058.706145175 0 0 0 0 0 0 1365714.77209638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-FI" 0 0 266351.727528911 0 0 0 0 0 248252.055632209 3276.41709998091 0 306616.829314918 0 0 0 0 0 0 0 261478.986775035 0 182438.538843433 0 0 0 0 0 63112.3501026266 0 466316.907195741 0 0 0 0 0
"EL-FR" 0 0 0 0 0 0 0 0 0 32308.6138387094 0 0 351749.132659932 0 0 0 0 602654.281160132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-HR" 0 0 0 0 0 0 0 0 0 350183.691068435 0 0 0 15556.5296543354 0 0 0 0 0 0 0 0 109774.661750907 95681.9972378834 0 0 0 0 0 0 0 0 0 0 0
"EL-HU" 0 0 0 0 0 0 0 0 0 11780.138520529 0 0 0 0 125542.712358414 0 0 0 0 0 0 0 0 135663.488985396 0 0 0 0 0 0 0 0 0 0 0
"EL-IE" 0 0 0 196243.671108724 0 0 68866.7183238326 0 0 26460.3395286765 0 0 514248.936092227 456787.464621081 0 138446.429569351 0 202601.378719368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 493559.536613804
"EL-IS" 214238.755252993 0 0 0 0 250859.635267275 459075.08822639 0 0 332810.596601194 0 0 0 114261.710141436 142578.561757175 0 169970.910061073 0 0 0 0 0 45144.5053573536 145886.440141971 0 0 0 0 0 0 0 0 0 0 0
"EL-IT" 0 0 0 0 0 0 0 0 0 33014.3494994054 0 0 0 0 0 0 0 21722.2846608565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-LI" 48342.470190796 0 0 24542.5902976721 0 0 0 0 0 26009.9772605028 0 0 0 5672.94790015468 0 0 0 221252.053625079 7011.6092966731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL-LT" 0 0 269239.564890737 0 0 0 0 0 0 3352.92111787039 0 0 0 0 0 0 0 0 0 154242.065124493 0 0 0 0 0 0 0 95509.224483911 0 467606.510646322 0 0 0 0 0
"EL-LU" 95660.0476403402 0 0 0 0 0 312138.57908987 0 0 543719.812061388 0 0 66372.3143837838 488871.948901284 0 0 0 241803.119894534 0 0 29229.5613962124 0 9548.05351975147 0 0 0 0 0 0 0 0 12361.0376178146 0 0 0
"EL-LV" 0 0 263504.973077478 0 0 0 0 0 0 3177.35738912449 0 0 0 0 0 0 0 0 0 275398.019964034 0 46122.0134641727 0 0 0 0 0 0 0 466946.896123399 0 0 0 0 0
"EL-ME" 0 0 0 0 0 0 0 0 0 349082.009599535 0 0 0 0 0 0 0 0 0 0 0 0 40026.6320828302 96381.5205342575 0 0 0 0 0 0 0 0 0 0 0
"EL-MK" 0 0 0 0 0 0 0 0 0 339378.936648038 0 0 0 0 0 0 0 0 0 0 0 0 0 57970.4843930476 0 0 0 0 0 0 0 0 0 0 0
"EL-MT" 0 0 0 0 0 0 0 0 0 55769.7828087241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6604.39140795443 0 0 0 0 0 0 0 0 0 0
"EL-NL" 169164.270752151 0 0 0 0 0 700456.362550218 0 0 351794.013923017 0 0 0 114379.54057273 0 0 0 0 0 0 0 0 103478.51847811 76520.1602962934 0 45999.8413231803 0 0 0 0 0 92084.0804302507 0 0 0
"EL-NO" 0 0 0 0 0 59474.5418745258 0 21689.7124049002 0 8952.50151658533 0 0 0 0 229653.897138196 0 0 0 0 0 0 0 0 137044.892562534 0 0 271922.01083628 504615.998972083 0 4024.11828457216 392379.911049361 0 163618.477203754 0 0
"EL-PL" 0 0 33166.2454768123 0 0 0 0 0 0 5789.83669796992 0 0 0 0 243510.071589143 0 0 0 0 0 0 0 0 86231.2934499537 0 0 0 264568.593666872 0 200444.217133848 0 0 92207.3224488351 0 0
"EL-PT" 0 0 0 0 0 0 0 0 0 230431.11706303 635729.740730045 0 0 0 0 0 0 1353144.0703568 0 0 0 0 0 0 0 0 0 0 95803.7320345163 0 0 0 0 0 0
"EL-RO" 0 0 250112.238759689 0 0 0 0 0 0 2703.68325764676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270192.505643759 0 0 0 0 0
"EL-SE" 0 0 16020.7294108706 0 0 0 0 0 0 6161.20952193456 0 0 0 0 233465.924010304 0 0 0 0 0 0 0 0 99737.0509908084 0 0 0 645152.188131342 0 188118.433692484 22179.0671951034 0 97410.3663216942 0 0
"EL-SI" 0 0 0 0 0 0 0 0 0 353542.511590786 0 0 0 106263.989021617 0 0 0 0 0 0 0 0 96975.2792842176 73259.0868562201 0 0 0 0 0 0 0 266.307945825655 0 0 0
"EL-SK" 0 0 0 0 0 0 0 0 0 7571.47425057631 0 0 0 0 241177.997495592 0 0 0 0 0 0 0 0 135567.020837488 0 0 0 0 0 88779.5140014919 0 0 61878.2581902027 0 0
"EL-TR" 0 0 0 0 0 0 0 0 0 3537.25723445526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 642555.072817645 0
"EL-UK" 96135.1484946748 257935.189247764 0 0 0 0 312714.955393591 0 0 625135.710127515 0 0 65309.170726429 496037.564081709 0 0 0 236904.288545709 0 0 53934.1926487648 0 0 0 0 0 0 0 0 0 0 22408.9172613188 0 0 238276.692563862
"ES-AT" 156225.168216293 0 0 11963.8214988421 0 0 0 0 0 0 392738.832632284 0 498566.993410552 0 0 0 0 460382.622495924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-BE" 0 61626.7106902883 0 0 0 0 0 0 0 0 283361.136619184 0 904906.560442688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-BG" 0 0 203137.247891751 0 0 0 0 0 0 0 443685.685896879 0 75768.1878041181 1042.20929301401 0 0 0 233196.88724207 0 0 0 0 126542.24594148 0 0 0 0 0 0 0 0 0 0 0 0
"ES-CH" 0 0 0 139130.945418768 0 0 0 0 0 0 338938.187049878 0 628596.955422079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-CY" 0 0 0 0 33571.9308343459 0 0 0 0 2002.45507149385 287327.190701314 0 0 0 0 0 0 106439.532346187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14412.9864076772 0
"ES-CZ" 21974.184210209 0 0 257669.561322403 0 178657.212092254 306514.668946395 0 0 0 341477.027735389 0 627021.616212622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-DE" 0 0 0 0 0 0 219768.037365276 0 0 0 302001.297951044 0 922946.112319081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-DK" 0 150490.362655358 0 0 0 0 44753.074016933 104801.103895307 0 0 283164.327302765 0 887470.724314169 0 0 0 0 0 0 0 0 0 0 0 0 255470.302631777 0 0 0 0 0 0 0 0 0
"ES-EE" 0 0 0 0 0 0 712208.312821181 0 96329.3123555627 0 290594.84903747 0 911294.013928827 0 0 0 0 0 0 0 0 96980.814001573 0 0 0 0 0 3159.48625347633 0 0 0 0 0 0 0
"ES-EL" 0 0 0 0 0 0 0 0 0 3901.59427022951 281058.706145175 0 0 0 0 0 0 124027.477445457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-ES" 0 0 0 0 0 0 0 0 0 0 426469.470725748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-FI" 0 127890.843064415 0 0 0 0 492133.103471807 195661.212017095 0 0 285548.351752832 255951.974919356 883996.341104744 0 0 0 0 0 0 0 0 0 0 0 0 3824.69448868763 0 0 0 0 771038.720180171 0 0 0 0
"ES-FR" 0 0 0 0 0 0 0 0 0 0 286658.713979362 0 494864.161735149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-HR" 0 0 0 0 0 0 0 0 0 0 466816.212134197 0 606980.020297097 19172.4215219613 0 0 0 212671.339405858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-HU" 0 0 0 0 0 0 0 0 0 0 413091.984355751 0 462995.553069611 0 214600.112589621 0 0 548241.185580431 0 0 0 0 0 0 0 0 0 0 0 0 0 235697.976038779 0 0 0
"ES-IE" 0 0 0 0 0 0 0 0 0 0 324291.745410648 0 0 0 0 119851.130072157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-IS" 0 0 0 0 0 0 0 0 0 0 320660.909118085 0 0 0 0 251381.455775204 152438.132909738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-IT" 0 0 0 0 0 0 0 0 0 0 501156.988497676 0 0 0 0 0 0 125713.834238465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-LI" 0 0 0 229229.635614257 0 0 0 0 0 0 368383.873150495 0 600859.727094525 0 0 0 0 0 3881.93459234877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-LT" 0 0 0 0 0 0 656305.562774999 0 0 0 303412.218991171 0 839324.114155994 0 0 0 0 0 0 86043.9575166121 0 0 0 0 0 0 0 511601.388894761 0 0 0 0 0 0 0
"ES-LU" 0 2853.97019110125 0 0 0 0 0 0 0 0 286765.041398802 0 893557.329026938 0 0 0 0 0 0 0 3491.92479216286 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES-LV" 0 0 0 0 0 0 608699.857081673 0 0 0 302878.882486678 0 939967.039019675 0 0 0 0 0 0 173735.376142619 0 107383.858593171 0 0 0 0 0 336160.195810674 0 0 0 0 0 0 0
"ES-ME" 0 0 0 0 0 0 0 0 0 0 445249.907010508 0 76074.2186838241 94580.8653759437 0 0 0 233197.404954841 0 0 0 0 63504.9848165108 0 0 0 0 0 0 0 0 0 0 0 0
"ES-MK" 0 0 0 0 0 0 0 0 0 0 396465.193804494 0 52797.5025493346 0 0 0 0 334651.041465773 0 0 0 0 0 97829.515284417 0 0 0 0 0 0 0 0 0 0 0
"ES-MT" 0 0 0 0 0 0 0 0 0 0 237387.767830363 0 0 0 0 0 0 10665.5691054106 0 0 0 0 0 0 10135.9136058262 0 0 0 0 0 0 0 0 0 0
"ES-NL" 0 133428.357552772 0 0 0 0 0 0 0 0 283412.14981882 0 904436.176876324 0 0 0 0 0 0 0 0 0 0 0 0 87084.2155954438 0 0 0 0 0 0 0 0 0
"ES-NO" 0 0 0 0 0 0 0 0 0 0 300274.457095252 0 907863.025343012 0 0 0 0 0 0 0 0 0 0 0 0 0 1598.47466153984 0 0 0 0 0 0 0 0
"ES-PL" 0 0 0 231244.962433192 0 283708.750795895 331232.123325453 0 0 0 330410.585797395 0 654903.06259371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 240797.191091054 0 0 0 0 0 0 0
"ES-PT" 0 0 0 0 0 0 0 0 0 0 364429.988297079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94697.3635217094 0 0 0 0 0 0
"ES-RO" 0 0 0 0 0 0 0 0 0 0 467163.929164782 0 607033.59505243 545522.121043456 0 0 0 212148.956643413 0 0 0 0 0 0 0 0 0 0 0 339270.790840522 0 0 0 0 0
"ES-SE" 0 171412.346583504 0 0 0 0 402028.436112148 331309.71703379 0 0 284038.88394823 0 874981.425765029 0 0 0 0 0 0 0 0 0 0 0 0 64688.8211984151 0 0 0 0 292174.456002858 0 0 0 0
"ES-SI" 0 0 0 0 0 0 0 0 0 0 417785.290655168 0 3671.09277322516 0 0 0 0 535815.453311221 0 0 0 0 0 0 0 0 0 0 0 0 0 100551.981462307 0 0 0
"ES-SK" 384922.806289924 0 0 0 0 0 0 0 0 0 392049.937718885 0 497579.623958887 0 0 0 0 480063.812738257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 192198.059679556 0 0
"ES-TR" 0 0 20740.5878765344 0 0 0 0 0 0 263791.557919866 378052.723433319 0 57870.2132702152 0 0 0 0 331521.051876604 0 0 0 0 0 208389.519792006 0 0 0 0 0 0 0 0 0 93726.563830801 0
"ES-UK" 0 0 0 0 0 0 0 0 0 0 292128.446993367 0 2803.22518070501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9064.14686573419
"FI-AT" 105894.854098763 0 0 0 0 260740.236021918 0 0 0 0 0 315434.488403608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 479831.725662204 0 0 0 0 0 0 0
"FI-BE" 0 75353.4809191636 0 0 0 0 44443.5606157568 50350.5513085945 0 0 0 234526.806066445 0 0 0 0 0 0 0 0 0 0 0 0 0 241580.378481624 0 0 0 0 706625.470273164 0 0 0 0
"FI-BG" 0 0 127404.252430467 0 0 0 0 0 182118.381844607 0 0 305558.201203975 0 0 0 0 0 0 0 256493.171620598 0 173627.86197329 0 0 0 0 0 0 0 453478.654610413 0 0 0 0 0
"FI-CH" 0 0 0 99130.6134076493 0 0 794173.812142214 19172.1966611407 0 0 0 321812.474160364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61427.399842332 0 0 0 0
"FI-CY" 0 0 0 0 33615.3476681163 0 0 0 226466.823394368 0 0 286177.908361213 0 0 0 0 0 0 0 0 0 176165.20779213 0 0 0 0 0 0 0 0 0 0 0 604706.780492036 0
"FI-CZ" 0 0 0 0 0 102216.281983189 0 0 0 0 0 322688.119152378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 489651.132617424 0 0 0 0 0 0 0
"FI-DE" 0 0 0 0 0 0 12714.7853097375 0 0 0 0 309251.20864649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1647.44841114726 0 0 0 0
"FI-DK" 0 0 0 0 0 0 0 71910.8425627157 0 0 0 232155.467393571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 620580.470098336 0 0 0 0
"FI-EE" 0 0 0 0 0 0 0 0 7089.39310833657 0 0 288900.873636006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI-EL" 0 0 266351.727528911 0 0 0 0 0 171768.797589873 131737.139634288 0 306616.829314918 0 0 0 0 0 0 0 261478.986775035 0 182438.538843433 0 0 0 0 0 63112.3501026266 0 466316.907195741 0 0 0 0 0
"FI-ES" 0 127890.843064415 0 0 0 0 492133.103471807 39229.3902798193 0 0 285548.351752832 255951.974919356 883996.341104744 0 0 0 0 0 0 0 0 0 0 0 0 3824.69448868763 0 0 0 0 574987.246602729 0 0 0 0
"FI-FI" 0 0 0 0 0 0 0 0 0 0 0 394037.967902218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI-FR" 0 35326.7008321861 0 0 0 0 559007.704985733 27843.2104672528 0 0 0 262856.92305634 388811.637523435 0 0 0 0 0 0 0 43338.978520184 0 0 0 0 0 0 0 0 0 593319.402784777 0 0 0 0
"FI-HR" 0 0 0 0 0 136904.812090723 0 0 6577.30173175475 0 0 341185.646487999 0 126963.063714679 183868.762219591 0 0 0 0 0 0 9891.17446701906 0 0 0 0 0 509372.091397078 0 0 0 0 91084.883947418 0 0
"FI-HU" 0 0 0 0 0 0 0 0 128957.696045772 0 0 340544.442070194 0 0 98318.2620567844 0 0 0 0 135805.948430276 0 155380.80740807 0 0 0 0 0 559093.542143475 0 0 0 0 148420.616737972 0 0
"FI-IE" 0 0 0 0 0 0 0 0 0 0 0 204900.695553687 0 0 0 166900.831646052 0 0 0 0 0 0 0 0 0 0 383742.417717705 0 0 0 296074.371296797 0 0 0 331413.574303744
"FI-IS" 0 0 0 0 0 0 0 0 0 0 0 164543.794738338 0 0 0 0 230126.943487853 0 0 0 0 0 0 0 0 0 117048.914920557 0 0 0 368498.964606492 0 0 0 0
"FI-IT" 232387.997546775 0 0 0 0 261704.217708561 0 0 0 0 0 315576.384271445 0 0 0 0 0 110747.786366891 0 0 0 0 0 0 0 0 0 479562.684310802 0 0 0 0 0 0 0
"FI-LI" 44210.3607883381 0 0 0 0 0 745076.942710301 0 0 0 0 306395.42176606 0 0 0 0 0 0 5463.8786898038 0 0 0 0 0 0 0 0 18408.8285663665 0 0 0 0 0 0 0
"FI-LT" 0 0 0 0 0 0 0 0 5291.89054957741 0 0 307568.258921706 0 0 0 0 0 0 0 107908.762494476 0 89236.4405736819 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI-LU" 0 0 0 0 0 0 612147.527616763 159804.853171104 0 0 0 262397.389288434 0 0 0 0 0 0 0 0 18907.6272408031 0 0 0 0 0 0 0 0 0 601685.90625652 0 0 0 0
"FI-LV" 0 0 0 0 0 0 0 0 180686.860111827 0 0 305720.533020507 0 0 0 0 0 0 0 0 0 128120.418386585 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI-ME" 0 0 0 0 0 0 0 0 111.630673385903 0 0 334092.928836688 0 0 239489.538029601 0 0 0 0 149941.120839861 0 123694.136402168 70280.6605813655 0 0 0 0 556149.034890337 0 0 0 0 127723.450087335 0 0
"FI-MK" 0 0 0 0 0 0 0 0 114377.40169164 0 0 317206.220610037 0 0 69585.3522003993 0 0 0 0 226782.903922956 0 70660.7414799731 0 72928.2732593222 0 0 0 582495.410319501 0 341754.658259089 0 0 36389.5708510641 0 0
"FI-MT" 0 0 0 0 0 110137.685988816 0 0 2474.60588273872 0 0 349502.508866906 0 485907.181235926 187326.036385765 0 0 673326.598878312 0 0 0 35182.6288992407 0 0 6308.0006860981 0 0 510936.699801883 0 0 0 0 130916.097829308 0 0
"FI-NL" 0 0 0 0 0 0 31336.4642968487 10561.5850098627 0 0 0 234034.500698011 0 0 0 0 0 0 0 0 0 0 0 0 0 169518.011711755 0 0 0 0 677920.347488009 0 0 0 0
"FI-NO" 0 0 0 0 0 0 0 0 0 0 0 211541.148023924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 135508.155160902 0 0 0 300462.043710383 0 0 0 0
"FI-PL" 0 0 0 0 0 0 0 0 161869.30474286 0 0 356489.405620377 0 0 0 0 0 0 0 48985.5693543637 0 164183.619921673 0 0 0 0 0 312393.656572858 0 0 0 0 0 0 0
"FI-PT" 0 0 0 0 0 0 0 166375.276686223 0 0 209309.550252686 231863.712136003 99500.9991172484 0 0 0 0 0 0 0 0 0 0 0 0 20317.9813132359 0 0 199087.069177716 0 640123.153462207 0 0 0 0
"FI-RO" 0 0 0 0 0 0 0 0 178675.234025047 0 0 304320.332628135 0 0 0 0 0 0 0 246128.373518429 0 183123.310869266 0 0 0 0 0 0 0 175700.101322381 0 0 0 0 0
"FI-SE" 0 0 0 0 0 0 0 0 0 0 0 225043.598521713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 203249.173680979 0 0 0 0
"FI-SI" 253291.504861654 0 0 0 0 159238.726209982 0 0 0 0 0 319607.425739878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 487385.180828865 0 0 0 59790.2134777594 0 0 0
"FI-SK" 0 0 0 0 0 0 0 0 134646.748005645 0 0 340765.370461018 0 0 0 0 0 0 0 133483.186136345 0 155741.20533654 0 0 0 0 0 558838.018783434 0 0 0 0 76119.8464482051 0 0
"FI-TR" 0 0 0 0 0 0 0 0 71672.4839895109 0 0 289394.076452893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 271991.38564232 0
"FI-UK" 0 0 0 0 0 0 0 0 0 0 0 219983.326846816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31472.6013564332 0 0 0 355884.700283727 0 0 0 26931.9276838528
"FR-AT" 36475.4170842746 0 0 222562.655427952 0 0 29035.3948192734 0 0 0 0 0 294391.926290843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-BE" 0 4379.22266699975 0 0 0 0 0 0 0 0 0 0 398232.138159293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-BG" 0 0 170681.696671604 152852.475135543 0 0 0 0 0 0 0 0 244796.624845961 49168.2225400214 0 0 0 442918.238112774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-CH" 0 0 0 140455.219367139 0 0 0 0 0 0 0 0 271934.019110176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-CY" 0 0 0 0 33760.0084790047 0 0 0 0 94732.8394038912 0 0 316911.205887725 10858.200047868 0 0 0 465982.3844969 0 0 0 0 2837.57576163852 106868.143274051 0 0 0 0 0 0 0 0 0 648095.1575945 0
"FR-CZ" 0 0 0 0 0 189965.07072347 428381.546224271 0 0 0 0 0 387633.092433757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-DE" 0 0 0 0 0 0 234456.105311355 0 0 0 0 0 435399.580603441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-DK" 0 121864.813425189 0 0 0 0 476239.427404027 98304.1445655149 0 0 0 0 395253.881053135 0 0 0 0 0 0 0 0 0 0 0 0 30118.4591630229 0 0 0 0 0 0 0 0 0
"FR-EE" 0 0 0 0 0 0 711801.464982346 0 3612.04456441881 0 0 0 415491.992178044 0 0 0 0 0 0 0 0 89802.1844543425 0 0 0 0 0 6064.94805072524 0 0 0 0 0 0 0
"FR-EL" 0 0 0 0 0 0 0 0 0 225743.914910318 0 0 351749.132659932 0 0 0 0 602654.281160132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-ES" 0 0 0 0 0 0 0 0 0 0 286658.713979362 0 494864.161735149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-FI" 0 30769.1916431978 0 0 0 0 619222.700736183 167743.423937577 0 0 0 14539.4907440492 388811.637523435 0 0 0 0 0 0 0 43338.978520184 0 0 0 0 0 0 0 0 0 616878.860331318 0 0 0 0
"FR-FR" 0 0 0 0 0 0 0 0 0 0 0 0 1245720.55308156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-HR" 0 0 0 151981.672041774 0 0 0 0 0 0 0 0 248356.51776987 17992.8184430559 0 0 0 454483.632159298 0 0 0 0 0 0 0 0 0 0 0 0 0 47048.5619183031 0 0 0
"FR-HU" 517890.533147452 0 0 232961.500284794 0 0 0 0 0 0 0 0 273907.56056083 0 202360.968275625 0 0 0 9263.50560084825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-IE" 0 0 0 0 0 0 0 0 0 0 0 0 495589.324617617 0 0 156818.524187152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81482.305317809
"FR-IS" 0 0 0 0 0 0 0 0 0 0 0 0 408351.735905348 0 0 0 153667.695747046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 394857.361097342
"FR-IT" 0 0 0 0 0 0 0 0 0 0 0 0 356050.920277126 0 0 0 0 440720.956261084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-LI" 0 0 0 233297.668731957 0 0 0 0 0 0 0 0 273622.445897514 0 0 0 0 0 3815.71027593522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-LT" 0 0 0 0 0 0 611249.697342463 0 0 0 0 0 448365.903205716 0 0 0 0 0 0 89361.5309760262 0 0 0 0 0 0 0 462696.720213586 0 0 0 0 0 0 0
"FR-LU" 0 0 0 0 0 0 0 0 0 0 0 0 398881.868219522 0 0 0 0 0 0 0 33121.6176288425 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR-LV" 0 0 0 0 0 0 647955.989144912 0 0 0 0 0 425570.897201032 0 0 0 0 0 0 161845.873876642 0 110513.765095968 0 0 0 0 0 347521.033079576 0 0 0 0 0 0 0
