"transition.matrix.avg.year...1.","AT","BE","BG","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FR","HR","HU","IE","IS","IT","LI","LT","LU","LV","ME","MK","MT","NL","NO","PL","PT","RO","SE","SI","SK","TR","UK"
"MK",NA,NA,0.0441888294144887,NA,NA,NA,NA,NA,NA,0.49106252882181,NA,NA,NA,NA,NA,NA,NA,0.125201683341051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33954695842265,NA,NA,NA
"MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",0.00328572037191208,0.543860328981904,5.5600424877602e-07,0.000118466812263814,NA,6.47555395900816e-05,0.349330871833193,0.000692004175366017,0.00204457930239335,0.000144055646273787,0.000763382584311795,0.000266208099080672,0.0490761035032514,NA,9.67384210569277e-05,0.00302279925468008,0.000110358423287394,0.000352136025277851,NA,1.39001062194005e-05,0.0447192856678421,NA,NA,NA,8.00309145965483e-06,NA,NA,0.000204135696292096,0.000503878851506306,1.15834218495004e-05,0.000224676259819018,NA,0.000474499074171305,3.95942419582923e-05,0.000571378610791433
"NO",NA,7.81570896223516e-05,NA,NA,NA,NA,0.0330101388205634,0.00016703906919931,0.00128368675516568,NA,NA,0.00216173827815124,0.000292394362477171,NA,NA,NA,NA,5.93125460338836e-05,NA,8.68412106915017e-06,NA,NA,NA,NA,NA,3.12628358489406e-06,NA,2.98733758989352e-05,NA,NA,0.962055804108249,NA,NA,NA,0.000850045189985353
"PL",0.528053013687867,0.000504521098820023,NA,0.0172275331397839,0.000563986467721743,0.149609946248041,0.17587603595297,0.000954766883528288,5.2916707576648e-05,0.000344818147401317,0.00319020583155723,0.00472447544286435,0.00527433999954454,NA,4.15921785809937e-05,0.00496840068129256,2.00039533662695e-05,0.0441178577240645,NA,0.0119284741114649,7.50148251235106e-07,NA,5.85115635963382e-05,NA,0,0.00195648666367145,0.000294841126015856,NA,0.000460340973090535,0.0027345404214183,0.0419826699989879,0.000226580410791295,0.00287533699214709,NA,0.00195705344558493
"PT",NA,NA,NA,0.00027368866493147,NA,NA,0.0415188114073557,NA,NA,0.000172399571622381,0.912461810394741,NA,0.0329641859370645,NA,NA,NA,NA,0.00444561979438636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000115164303682643,NA,NA,NA,NA,NA,0.00205630716388852,0.00599201276232782
"RO",0.408926966707038,0,0.178303032271867,0.0031174099906099,0.000807779547076847,0.035217678799452,0.00919057107807143,0.000585073971013604,NA,0.0307397130081743,0.00130603609013359,0.0013848323190897,0.000307635668629734,0.0129754120297823,0.0464207714741171,0.00274418554435271,NA,0.00898898827135427,NA,NA,NA,0.00179296862084814,0.0683026681925761,NA,NA,0.00195150482194895,NA,0.0034783591621921,0,NA,NA,0.00191056376124672,0.0263962726186785,0.154677854868766,0.000473721182981982
"SE",0.0390772755696408,0.000914245939328811,NA,4.41851019833754e-05,7.29448972914407e-05,0.00018145012056171,0.238463701683417,0.0141758018649886,0.0258270791821269,0.000614547752111123,0.00469629763198261,0.162342856007509,0.00079967418924523,NA,1.78382742624433e-05,0.00294351454770064,0.000180985209006079,0.000579449689569907,NA,2.99662791437429e-05,NA,0.00181156644290915,9.09600378730814e-06,5.55866898113275e-07,3.36552155290408e-05,0.000829130581881245,0.492549732433921,0.000967802802831469,0.00024838547387499,4.59474536015001e-05,NA,6.70112700123197e-05,6.90024536382566e-05,1.83233948013221e-05,0.0123879766664443
"SI",0.721512513190481,1.38236786761358e-07,NA,NA,NA,1.72795983451697e-05,0.000422309221381417,NA,NA,0.00312342373146365,0.00024882621495784,NA,9.84633954826512e-05,0.0853129557315242,0.000305454795819498,NA,NA,0.174452867695582,NA,NA,7.27562035586093e-07,NA,0.0019089408872312,0.000353049483224867,NA,NA,NA,0.000230637172556412,NA,0.000432535622880312,NA,NA,0.0113485127402062,NA,0.000231364720040757
"SK",0.494954889908295,0,NA,2.7972786849411e-05,6.58767420463451e-05,0.268686090400508,0.0014543912350839,3.46802654655983e-06,NA,0.000452469368370724,1.46602940377302e-05,0,8.36109694142588e-05,0.000134609874407347,0.0331714057719239,0,3.78330168715618e-07,0.00122459517175818,NA,NA,0.000605328276565767,NA,NA,NA,NA,0.00052820296026184,NA,0.120831944560168,0,0.0679090832152978,2.01460814841067e-05,0.00979777213704945,NA,NA,3.31038897626166e-05
"TR",0.06113164637636,NA,0.0656809781997171,NA,NA,NA,0.113448968031631,NA,NA,NA,0.361387541031259,NA,NA,NA,NA,0.282058574469802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114586292457473,NA,NA,NA,NA,0.00170599943375888
"UK",0.00558476291918654,0.0221914608815425,NA,NA,NA,6.18215417460044e-06,0.02586623725652,4.16481965446767e-06,0.00522441902076469,1.76137173230236e-05,0.00159898862920614,0.492401616436107,0.00695093750105723,NA,0,0.197453737791364,7.54873562372264e-06,0.00343348488591644,NA,0,NA,0.00456750552726141,NA,NA,1.95225921303172e-05,9.91096946671695e-05,0.0438407137721475,NA,0.00356599655618216,1.30150614202115e-06,0.186330343404558,5.26676160814598e-05,NA,0.000781684582390369,NA
