"Name_Port","1000","2000","5000","10000","25000","50000"
"BE00BEANR",0,0.0525996810207337,0.054749300423612,0.0275338051548979,0.0892133484205034,0.0526904720797752
"BE00BEGNE",0,0,0,0,0.00113572967390377,0.00504075535760651
"BE00BEOST",0,0,0,0,0,0
"BE00BEZEE",0,0,0,0,0,9.16732472209317e-05
"BG00BGBOJ",0,0,0,0.00105042262440651,0.000769036685020038,0.0126305362837728
"BG00BGVAR",0,0,0.0351414114346905,0.0845749367590332,0.0866515904564962,0.029153365855801
"CY00CYLCA",NA,NA,NA,NA,NA,NA
"CY00CYLMS",NA,NA,NA,NA,NA,NA
"CY00CYVAS",NA,NA,NA,NA,NA,NA
"DE01DEAGE",0,0,0,0,0,3.05577490736439e-05
"DE01DEBEN",0,0,0,0,0,0
"DE01DEBKE",0,0,0,0.00219633821466816,0.0134606884669401,0.022244768086068
"DE01DEBMK",0,0,0,0,0,0.00262796642033338
"DE01DEBMR",0,0,0,0,0,0
"DE01DEBRB",0,0,0,6.36619772367581e-05,0.00173160578083982,0.00745354429487964
"DE01DEBRE",0,0,0.00114591559026165,0.000286478897565412,0.0518055705961843,0.0683029353773178
"DE01DEBRV",0,0,0.000127323954473516,0.000986760647169751,0.00894323456221978,0.0116692404274978
"DE01DECAR",0,0,0,0,0,2.54647908947033e-06
"DE01DECUX",0,0,0.00114591559026165,0.000732112738222719,0.00039215777977843,0.00400306512864735
"DE01DEEME",0,0,0,0,0.00305577490736439,0.0032009242154642
"DE01DEHAM",0,0,0,0.00458366236104659,0.0444105953203625,0.0899671062309866
"DE01DEHGL",0,0,0,0,0,0
"DE01DEHUS",0.564,0.39431891025641,0.169340859449777,0.257067064082029,0.155116227255995,0.116264595787947
"DE01DEJUI",0,0,0,0,0,0.000381971863420549
"DE01DELGO",0,0,0.0379425384331078,0.136523110184228,0.202052929833112,0.185956635508571
"DE01DENHA",0,0,0,0,0.00527630467338251,0.0113407446249561
"DE01DEPEL",0,0,0,0,0,0
"DE01DEWVN",0,0,0,0,1.01859163578813e-05,0.00305577490736439
"DE02DEKEL",0,0,0,0,0.000193532410799745,0.00218487905876554
"DE02DELBC",0,0,0.0227909878507594,0.029730143369566,0.0270945375119643,0.0440910121946339
"DE02DERSK",0,0,0,3.18309886183791e-05,0.00305577490736439,0.0205029763888703
"DE02DESAS",0.0042948717948718,0.118896882494005,0.102368459396707,0.0622932447261678,0.0369239467973197,0.0141138603533893
"DE02DEWIS",0,0,0,0,0.0206061087919939,0.0506609282454674
"DE03DEDUI",0,0,0.0567864836951883,0.0466323983259253,0.0656686027592607,0.0590057402216616
"DK00DKAAB",0,0,0,0,0,0
"DK00DKAAL",0,0,0,0,0,0.00015533522445769
"DK00DKAAR",0,0,0,0,0,0
"DK00DKAVE",0,0,0.00216450722604978,0.00359690171387683,0.00210848468608143,0.00147186491371385
"DK00DKCPH",0,0,0.00216450722604978,0.00359690171387683,0.00210848468608143,0.00147186491371385
"DK00DKEBJ",0,0,0.00572957795130823,0.00923098669932993,0.0109193023356488,0.0116221305643426
"DK00DKENS",0,0,0.00216450722604978,0.00359690171387683,0.00210848468608143,0.00147186491371385
"DK00DKFRC",0,0,0,0,0,4.07436654315252e-05
"DK00DKGRE",0,0,0,0,0,0
"DK00DKKAL",0,0,0,0,0.000575504274220294,0.00086070993224097
"DK00DKKOG",0,0,0,0,8.65802890419911e-05,0.00109625924801698
"DK00DKKOL",0,0,0,0,0,0.000609881741928143
"DK00DKODE",0,0,0,0,0,0
"DK00DKRAN",0,0,0,0,0,0.000189712692165539
"DK00DKRNN",0,0,0,0,0,2.03718327157626e-05
"DK00DKSSV",0,0,0.00216450722604978,0.00359690171387683,0.00210848468608143,0.00147186491371385
"DK00DKSTG",0,0,0.00216450722604978,0.00359690171387683,0.00210848468608143,0.00147186491371385
"DK00DKTYB",0,0,0,0,0.000662084563262285,0.00192386495209483
"DK00DKVEJ",0,0,0,0,0,0.00113063671572482
"EE00EEKND",0.147980769230769,0.237145135566188,0.299593264876184,0.23800030189962,0.199720354987158,0.171597039923047
"EE00EEPRN",0.442572347266881,0.440582137161084,0.195696918025794,0.179749592727987,0.22523607546365,0.233883918451492
"EE00EESLM",0.0280952380952381,0.0398568019093079,0.0164247901270836,0.0531895819813114,0.0815790041102713,0.0707182707936804
"EE00EETLL",0,0,0.131652968925616,0.140629307715999,0.212457843392688,0.220630768030343
"EE00EEVEB",0,0,0.0119684517205105,0.0837791620435737,0.158487765570454,0.195451182793661
"EL00GRAXD",0,0,0,9.54929658551372e-05,0.00623378081102336,0.00491088492404352
"EL00GRCFU",0,0,0,0,0,0.00345557212441123
"EL00GRCLK",0,0,0.00560225399683472,0.0140374659807052,0.0392310568523798,0.127623165766529
"EL00GRCRG",0,0,0,0.0577414133537396,0.0619813010377077,0.0435931755326425
"EL00GREEU",0,0,0.0127323954473516,0.176089029036873,0.191861920517052,0.109535524794021
"EL00GRGPA",0,0,0.00509295817894065,0.0535397228561136,0.0721010089392628,0.058763824708162
"EL00GRHER",0,0,0,0.0146422547644544,0.0256685092218609,0.0158518323319528
"EL00GRIGO",0,0,0,0,0.000672270479620166,0.0156073703393636
"EL00GRITM",0.0395253164556962,0.0206762132060461,0.0411256372949458,0.0828560633736407,0.0670895380911852,0.0484072942512862
"EL00GRJKH",0,0,0,0,0,0
"EL00GRJSY",0,0,0,0,0,0
"EL00GRKVA",0,0,0,0,0.000213904243515507,0.0111293868605301
"EL00GRMJT",0,0,0.0381971863420549,0.0795774715459477,0.0494016943357243,0.0187166213076069
